column_key_order,column_key_name,column_key_label,section_name_for_column_key
53,EpicNo,Electors Photo Identity Card (EPIC) No,EPIC INFORMATION
54,AssmblyConstNo,Assembly Constituency No.,EPIC INFORMATION
55,AssmblyConstName,Assembly Constituency Name,EPIC INFORMATION
56,PartNo,EPIC Part No.,EPIC INFORMATION
57,SerialNo,EPIC Serial No.,EPIC INFORMATION
58,RsConstName,Residential Constituency Name,EPIC INFORMATION
59,NativeConstName,Native Constituency Name,EPIC INFORMATION
60,WorkConstName,Working Constituency Name,EPIC INFORMATION
61,SscType,SSC / X class: Type of study,ACAD_SSC
62,SscYear,SSC :Passed Year,ACAD_SSC
63,SscMed,SSC :Passed Medium,ACAD_SSC
64,SscLang1,SSC: 1st Language,ACAD_SSC
65,SscLang2,SSC: 2nd Language,ACAD_SSC
66,InterType,Inter: Type of Study,ACAD_INTER
67,InterYear,Inter :Passed Year,ACAD_INTER
68,InterCourse,Inter : Studied Course,ACAD_INTER
69,InterMed,Inter: Studied Medium,ACAD_INTER
70,InterLang1,Inter: 1st Language,ACAD_INTER
71,InterLang2,Inter: 2nd Language,ACAD_INTER
72,Deg1Type,D1:Type of Study,ACAD_GRADUATION
73,Deg1Course,D1:Studied Course,ACAD_GRADUATION
74,Deg1Med,D1:Medium,ACAD_GRADUATION
75,Deg1Opt1,D1:Optional -1,ACAD_GRADUATION
76,Deg1Opt2,D1:Optional -2,ACAD_GRADUATION
77,Deg1Opt3,D1:Optional -3,ACAD_GRADUATION
78,Deg1Univ,D1:University,ACAD_GRADUATION
79,Deg1PassYr,D1:Passed Year,ACAD_GRADUATION
80,Deg1Percent,D1:Pass Percent ,ACAD_GRADUATION
81,Deg2Type,D2:Type of Study,ACAD_GRADUATION
82,Deg2Course,D2:Studied Course,ACAD_GRADUATION
83,Deg2Med,D2:Medium,ACAD_GRADUATION
84,Deg2Opt1,D2:Optional -1,ACAD_GRADUATION
85,Deg2Opt2,D2:Optional -2,ACAD_GRADUATION
86,Deg2Opt3,D2:Optional -3,ACAD_GRADUATION
87,Deg2Univ,D2:University,ACAD_GRADUATION
88,Deg2PassYr,D2:Passed Year,ACAD_GRADUATION
89,Deg2Percent,D2:Pass Percent ,ACAD_GRADUATION
90,Pg1Course,PG-1: Course,ACAD_POST_GRADUATION
91,Pg1Subject,PG-1: Subject,ACAD_POST_GRADUATION
92,Pg1Univ,PG-1: University,ACAD_POST_GRADUATION
93,Pg1PassYr,PG-1: Passed Year,ACAD_POST_GRADUATION
94,Pg1Percent,PG-1: Pass Percent ,ACAD_POST_GRADUATION
95,Pg2Course,PG-2:  Course,ACAD_POST_GRADUATION
96,Pg2Subject,PG-2:  Subject,ACAD_POST_GRADUATION
97,Pg2Univ,PG-2:  University,ACAD_POST_GRADUATION
98,Pg2PassYr,PG-2:  Passed Year,ACAD_POST_GRADUATION
99,Pg2Percent,PG-2:  Pass Percent ,ACAD_POST_GRADUATION
100,UgTrngCourse,Training Course (DEd/ TTC/ Spl DEd/UGPEd),PROF_UG_COURSE
101,UgTrngMedium,Medium,PROF_UG_COURSE
102,UgTrngBoardUniv,Board/ University,PROF_UG_COURSE
103,UgTrngPassYr,Passed Year,PROF_UG_COURSE
104,UgTrngPercent,Pass Percent ,PROF_UG_COURSE
105,Grad1TrngCourse,Training Course,PROF_GRAD_COURSE
106,Grad1TrngMed,Medium,PROF_GRAD_COURSE
107,Grad1TrngMthd1,Method-1,PROF_GRAD_COURSE
108,Grad1TrngMthd2,Method-1,PROF_GRAD_COURSE
109,Grad1TrngUniv,Training Board/ Univ.,PROF_GRAD_COURSE
110,Grad1TrngPassYr,Trainging Passed Year,PROF_GRAD_COURSE
111,Grad1TrngPercent,Trainging Pass Percent ,PROF_GRAD_COURSE
112,Grad2TrngCourse,Addnl_Training Course,PROF_GRAD_2_COURSE
113,Grad2TrngMed,Addnl_Medium,PROF_GRAD_2_COURSE
114,Grad2TrngMthd1,Addnl_Method-1,PROF_GRAD_2_COURSE
115,Grad2TrngMthd2,Addnl_Method-1,PROF_GRAD_2_COURSE
116,Grad2TrngUniv,Addnl_Training Board/ Univ.,PROF_GRAD_2_COURSE
117,Grad2TrngPassYr,Addnl_Trainging Passed Year,PROF_GRAD_2_COURSE
118,Grad2TrngPercent,Addnl_Trainging Pass Percent ,PROF_GRAD_2_COURSE
119,MedCourse,PG-Training Course,PROF_PG_COURSE
120,MedUniv,PG-Training University,PROF_PG_COURSE
121,MedPassYr,PG-Training Passed Year,PROF_PG_COURSE
122,MedPercent,PG-Training Pass Percent,PROF_PG_COURSE
123,EotYN,EOT Passed (Y/N),DEPARTMENTAL_TESTS
124,EotPass,EOT Passed Year,DEPARTMENTAL_TESTS
125,GotYN,GOT Passed (Y/N),DEPARTMENTAL_TESTS
126,GotPass,GOT Passed Year,DEPARTMENTAL_TESTS
127,LttYN,Lang. Test (Telugu) Passed (Y/N),DEPARTMENTAL_TESTS
128,LttPass,Lang. Test (Telugu) Passed Year,DEPARTMENTAL_TESTS
129,HttYN,Lang. Test (Hindi) Passed (Y/N),DEPARTMENTAL_TESTS
130,HttPass,Lang. Test (Hindi) Passed Year,DEPARTMENTAL_TESTS
131,OtherTestYN,Other Deptl. Passed (Y/N),DEPARTMENTAL_TESTS
132,OtherTestPassYear,Other Deptl. Passed Year,DEPARTMENTAL_TESTS
133,SgtAppType,SGT Cadre Appointment Type,SERVICE_PARTICULARS_SGT CADRE
134,SgtCadreDesign,SGT Cadre Designation:,SERVICE_PARTICULARS_SGT CADRE
135,SgtDscYr,"If Appointed By DSC, Mention DSC/ TRT year",SERVICE_PARTICULARS_SGT CADRE
136,SgtDscHtno,DSC/ TRT HTNo,SERVICE_PARTICULARS_SGT CADRE
137,SgtDscList,DSC/ TRT List,SERVICE_PARTICULARS_SGT CADRE
138,SgtDscRank,DSC/ TRT Rank,SERVICE_PARTICULARS_SGT CADRE
139,SgtDscMarks,DSC/ TRT Marks,SERVICE_PARTICULARS_SGT CADRE
140,SgtMgmnt,Appointed Management,SERVICE_PARTICULARS_SGT CADRE
141,SgtJoinDate,SGT Cadre Joining Date,SERVICE_PARTICULARS_SGT CADRE
142,SgtRegDate,Date of acquiring qualification (Spl VV/ Untrauned),SERVICE_PARTICULARS_SGT CADRE
143,SgtAbsrpDate,Date of absorption into regular scale ( in case of 398/ spl teachers),SERVICE_PARTICULARS_SGT CADRE
144,SaCadreDesign,SA Cadre Designation:,SERVICE_PARTICULARS_SA CADRE
145,SaAppType,SA Cadre Appointment Type,SERVICE_PARTICULARS_SA CADRE
146,SaDscYr,"If Appointed By DSC, Mention DSC/ TRT year",SERVICE_PARTICULARS_SA CADRE
147,SaDscHtno,DSC/ TRT HTNo,SERVICE_PARTICULARS_SA CADRE
148,SaList,DSC/ TRT List,SERVICE_PARTICULARS_SA CADRE
149,SaRank,DSC/ TRT Rank,SERVICE_PARTICULARS_SA CADRE
150,SaDscMarks,DSC/ TRT Marks,SERVICE_PARTICULARS_SA CADRE
151,SaMgmnt,Appointed Management,SERVICE_PARTICULARS_SA CADRE
152,SaJoinDate,SA Cadre Joining Date,SERVICE_PARTICULARS_SA CADRE
153,SaRegDate,Date of acquiring qualification (Spl VV/ Untrauned),SERVICE_PARTICULARS_SA CADRE
154,GHMGrIIApp,GAZ. Cadre Appointment:,SERVICE_PARTICULARS_GAZ_CADRE
155,GHMGrIIDesign,GAZ. Cadre Designation:,SERVICE_PARTICULARS_GAZ_CADRE
156,GHMGrIIDOJ,GAZ. Cadre Joining Date:,SERVICE_PARTICULARS_GAZ_CADRE
157,IdtMutualYN,IDT/ MT Availed (Yes/ No),IDT_MT_TRANSFER
158,IdtMutualCdr,"IDT/ MT, mention Cadre",IDT_MT_TRANSFER
159,IdtMutualDistFrom,IDT/ MT District from:,IDT_MT_TRANSFER
160,IdtMutualDate,IDT/ MT Transfer Date,IDT_MT_TRANSFER
161,DiesNonDays,No. of days on DIES-NON,DIES_NON_EOL_DETAILS
162,EOLDays,No. of days on EOL,DIES_NON_EOL_DETAILS
163,PrsntCdrSenDate,Present Cadre Seniority date to be counted from,CADRE_SENIORITY
164,PrsntCdrSenNo,Present Cadre Seniority Sl No,CADRE_SENIORITY
165,TetP1Htno,TET Paper - 1 : Hall Ticket No.,TET_INFORMATION
166,TetP1PassYr,TET Paper - 1 : Passed Year,TET_INFORMATION
167,TetP2Htno,TET Paper - 2 : Hall Ticket No.,TET_INFORMATION
168,TetP2PassYr,TET Paper - 2 : Passed Year,TET_INFORMATION
169,eligible_promotion_1,Eligible Promotion - 1,PROMOTIONS
170,eligible_promotion_2,Eligible Promotion - 2,PROMOTIONS
171,eligible_promotion_3,Eligible Promotion - 3,PROMOTIONS
172,eligible_promotion_4,Eligible Promotion - 4,PROMOTIONS
